,location,timestamp,11057,13846,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,12724,19896,38591
201,none,2015-02-17 10:30:51,100,500,85,100,83,87,100,100,30946,500,500,500,500
202,none,2015-02-17 10:30:52,88,500,86,100,100,88,84,100,30946,500,500,500,500
203,none,2015-02-17 10:30:53,88,500,84,100,78,87,80,100,30946,500,500,500,500
204,none,2015-02-17 10:30:54,85,500,83,100,78,88,81,100,30946,500,500,500,500
205,none,2015-02-17 10:30:55,85,500,84,100,79,100,85,100,30946,500,500,500,500
206,none,2015-02-17 10:30:56,100,500,100,100,79,89,85,100,30946,500,500,500,500
207,none,2015-02-17 10:30:57,100,500,87,100,78,88,84,100,30946,500,500,500,500
208,none,2015-02-17 10:30:58,83,500,86,100,83,88,85,100,30946,500,500,500,500
209,none,2015-02-17 10:30:59,83,500,86,100,83,85,81,500,30946,500,500,500,500
210,none,2015-02-17 10:31:00,100,500,86,500,77,81,79,500,30946,500,500,500,500
211,none,2015-02-17 10:31:01,100,500,100,500,89,77,83,89,30946,500,500,500,500
212,none,2015-02-17 10:31:02,85,500,100,500,84,80,84,89,30946,500,500,500,500
213,none,2015-02-17 10:31:03,88,500,100,500,78,100,85,100,30946,500,500,500,500
214,none,2015-02-17 10:31:04,100,500,100,500,79,87,86,100,30946,500,500,500,500
215,none,2015-02-17 10:31:05,100,500,100,500,84,100,85,100,30946,500,500,500,500
216,none,2015-02-17 10:31:06,100,500,100,500,87,87,88,88,30946,500,500,500,500
217,none,2015-02-17 10:31:07,100,500,100,500,74,86,87,87,30946,500,500,500,500
218,none,2015-02-17 10:31:08,100,500,100,500,81,100,81,86,30946,500,500,500,500
219,none,2015-02-17 10:31:09,100,500,84,500,82,87,84,87,30946,500,500,500,500
220,none,2015-02-17 10:31:10,100,500,88,500,100,85,84,100,30946,500,500,500,500
221,none,2015-02-17 10:31:11,100,500,89,500,100,87,76,100,30946,500,500,500,500
222,none,2015-02-17 10:31:12,100,500,89,500,100,87,77,100,30946,500,500,500,500
223,none,2015-02-17 10:31:13,500,500,100,500,81,100,80,89,30946,500,500,500,500
224,none,2015-02-17 10:31:14,500,500,100,500,81,100,77,89,30946,500,500,500,500
225,none,2015-02-17 10:31:15,500,500,100,500,100,86,77,100,30946,500,500,500,500
226,none,2015-02-17 10:31:16,500,500,100,500,100,100,73,100,30946,500,500,500,500
227,none,2015-02-17 10:31:17,500,500,100,500,89,100,80,100,30946,500,500,500,500
228,none,2015-02-17 10:31:18,500,500,100,500,84,89,76,100,30946,500,500,500,500
229,none,2015-02-17 10:31:19,500,500,100,500,80,100,77,100,30946,500,500,500,500
230,none,2015-02-17 10:31:20,500,500,100,500,83,86,75,100,30946,500,500,500,500
231,none,2015-02-17 10:31:21,500,500,500,500,80,100,73,100,30946,500,500,500,500
232,none,2015-02-17 10:31:22,500,500,500,500,79,100,74,100,30946,500,500,500,500
233,none,2015-02-17 10:31:23,500,500,500,500,83,100,77,86,30946,500,500,500,500
234,none,2015-02-17 10:31:24,500,500,500,500,86,85,78,88,30946,500,500,500,500
235,none,2015-02-17 10:31:25,500,500,500,500,86,100,74,88,30946,500,500,500,500
236,none,2015-02-17 10:31:26,500,500,500,500,85,100,72,88,30946,500,500,500,500
237,none,2015-02-17 10:31:27,500,500,500,500,84,100,74,100,30946,500,500,500,500
238,none,2015-02-17 10:31:28,500,500,500,500,85,82,83,86,30946,500,500,500,500
239,none,2015-02-17 10:31:29,500,86,84,500,81,100,83,87,30946,500,500,500,500
240,none,2015-02-17 10:31:30,500,86,100,500,84,78,77,89,30946,500,500,500,500
