,location,timestamp,11057,12724,13846,19896,28873,31853,34946,38215,40399,47682,visitor_history_id,12647,38591
149,1_class_lezin,2015-02-17 10:20:10,85,500,500,500,500,500,89,500,89,500,53756,500,500
150,1_class_lezin,2015-02-17 10:20:11,83,500,500,500,500,500,84,500,88,500,53756,500,500
151,1_class_lezin,2015-02-17 10:20:12,82,500,500,500,500,500,80,500,88,500,53756,500,500
152,1_class_lezin,2015-02-17 10:20:13,100,500,500,500,500,88,85,500,89,500,53756,500,500
153,1_class_lezin,2015-02-17 10:20:14,78,500,500,500,500,88,89,500,87,500,53756,500,500
154,1_class_lezin,2015-02-17 10:20:15,79,500,500,500,89,100,82,500,87,500,53756,500,500
155,1_class_lezin,2015-02-17 10:20:16,83,500,500,500,89,87,82,87,85,500,53756,500,500
156,1_class_lezin,2015-02-17 10:20:17,75,500,500,500,100,87,80,86,84,500,53756,500,500
157,1_class_lezin,2015-02-17 10:20:18,78,500,500,500,100,88,78,100,84,500,53756,500,500
158,1_class_lezin,2015-02-17 10:20:19,82,500,500,500,100,88,77,100,84,500,53756,500,500
159,1_class_lezin,2015-02-17 10:20:20,87,500,500,500,100,88,100,88,84,500,53756,500,500
160,1_class_lezin,2015-02-17 10:20:21,79,500,500,500,100,89,88,88,85,500,53756,500,500
161,1_class_lezin,2015-02-17 10:20:22,83,500,500,500,100,100,78,89,84,500,53756,500,500
162,1_class_lezin,2015-02-17 10:20:23,85,500,500,500,100,89,100,100,85,500,53756,500,500
163,1_class_lezin,2015-02-17 10:20:24,84,500,500,500,100,89,100,100,87,500,53756,500,500
164,1_class_lezin,2015-02-17 10:20:25,86,500,500,500,500,100,83,100,86,500,53756,500,500
165,1_class_lezin,2015-02-17 10:20:26,100,500,500,500,500,100,79,100,87,500,53756,500,500
166,1_class_lezin,2015-02-17 10:20:27,84,500,500,500,500,100,79,100,85,500,53756,500,500
167,1_class_lezin,2015-02-17 10:20:28,84,500,500,500,500,100,82,100,100,500,53756,500,500
168,1_class_lezin,2015-02-17 10:20:29,82,500,500,500,500,100,84,100,100,500,53756,500,500
169,1_class_lezin,2015-02-17 10:20:30,79,500,500,500,500,100,82,100,100,500,53756,500,500
170,1_class_lezin,2015-02-17 10:20:31,77,500,500,500,500,100,81,100,100,500,53756,500,500
171,1_class_lezin,2015-02-17 10:20:32,100,500,500,500,500,100,84,500,100,500,53756,500,500
172,1_class_lezin,2015-02-17 10:20:33,87,500,500,500,500,500,85,500,100,500,53756,500,500
173,1_class_lezin,2015-02-17 10:20:34,100,500,500,500,500,500,100,500,100,500,53756,500,500
174,1_class_lezin,2015-02-17 10:20:35,83,500,500,500,500,500,82,500,100,500,53756,500,500
175,1_class_lezin,2015-02-17 10:20:36,82,500,500,500,500,500,78,500,100,500,53756,500,500
176,1_class_lezin,2015-02-17 10:20:37,77,500,500,500,500,500,78,88,500,500,53756,500,500
177,1_class_lezin,2015-02-17 10:20:38,100,500,500,500,500,500,84,100,88,500,53756,500,500
178,1_class_lezin,2015-02-17 10:20:39,85,500,500,500,500,500,82,100,88,500,53756,500,500
179,1_class_lezin,2015-02-17 10:20:40,79,500,500,500,500,500,78,100,87,500,53756,500,500
180,1_class_lezin,2015-02-17 10:20:41,80,500,500,500,500,500,85,100,85,500,53756,500,500
181,1_class_lezin,2015-02-17 10:20:42,77,500,500,500,500,500,87,100,84,500,53756,500,500
182,1_class_lezin,2015-02-17 10:20:43,73,500,500,500,500,500,84,100,100,500,53756,500,500
183,1_class_lezin,2015-02-17 10:20:44,79,500,500,500,500,500,81,100,84,500,53756,500,500
184,1_class_lezin,2015-02-17 10:20:45,81,500,500,500,500,500,74,100,84,500,53756,500,500
185,1_class_lezin,2015-02-17 10:20:46,84,500,500,500,500,500,100,100,88,500,53756,500,500
186,1_class_lezin,2015-02-17 10:20:47,89,500,500,500,500,500,82,500,89,500,53756,500,500
187,1_class_lezin,2015-02-17 10:20:48,86,500,500,500,500,500,81,500,86,500,53756,500,500
188,1_class_lezin,2015-02-17 10:20:49,86,500,500,500,500,500,82,500,84,500,53756,500,500
189,none,2015-02-17 10:20:50,81,500,500,500,500,500,78,88,87,500,53756,500,500
190,none,2015-02-17 10:20:51,77,500,500,500,500,89,73,87,84,500,53756,500,500
191,none,2015-02-17 10:20:52,84,500,500,500,500,87,79,88,83,500,53756,500,500
192,none,2015-02-17 10:20:53,81,500,500,500,500,88,79,88,86,89,53756,500,500
193,none,2015-02-17 10:20:54,100,500,500,500,500,88,78,87,87,86,53756,500,500
194,none,2015-02-17 10:20:55,83,500,500,500,87,100,78,84,81,87,53756,500,500
195,none,2015-02-17 10:20:56,83,500,500,500,84,100,79,83,76,89,53756,500,500
196,none,2015-02-17 10:20:57,100,500,500,500,84,100,81,81,79,89,53756,500,500
