p,timestamp,y,yhat,yhat_smooth,yhat_threshold,p_threshold,hmm_pred
0.5,2015-02-28 11:34:29,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.6,2015-02-28 11:34:30,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:34:31,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
1.0,2015-02-28 11:34:32,None,2_gal_south,2_gal_south,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:33,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:34,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.7,2015-02-28 11:34:35,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.9,2015-02-28 11:34:36,None,2_gal_south,2_gal_south,2_gal_south,0.9,1_class_lezin
1.0,2015-02-28 11:34:37,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:38,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:39,None,2_gal_south,2_gal_south,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:40,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:41,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
1.0,2015-02-28 11:34:42,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.7,2015-02-28 11:34:43,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:44,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:45,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.6,2015-02-28 11:34:46,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:34:47,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:48,None,1_class_lezin,2_gal_south,1_class_lezin,0.7,1_class_lezin
0.6,2015-02-28 11:34:49,None,1_class_lezin,2_gal_south,1_class_lezin,0.2,1_class_lezin
0.7,2015-02-28 11:34:50,None,1_class_lezin,2_gal_south,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:51,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:52,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:53,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:54,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:55,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:56,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:57,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:58,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:34:59,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:00,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:01,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:02,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:03,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
1.0,2015-02-28 11:35:04,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:05,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:06,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:07,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:08,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:09,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:10,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:11,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:12,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:13,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:14,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:15,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:16,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:17,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:18,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:19,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:20,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:21,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
0.7,2015-02-28 11:35:22,None,2_gal_south,1_class_lezin,2_gal_south,0.7,1_class_lezin
0.7,2015-02-28 11:35:23,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.5,2015-02-28 11:35:24,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.7,2015-02-28 11:35:25,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.6,2015-02-28 11:35:26,None,2_gal_south,1_class_lezin,2_gal_south,0.2,1_class_lezin
0.7,2015-02-28 11:35:27,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:28,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.9,2015-02-28 11:35:29,None,2_gal_south,1_class_lezin,2_gal_south,0.9,1_class_lezin
0.7,2015-02-28 11:35:30,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:31,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:32,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:33,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:34,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:35,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:36,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:37,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.8,2015-02-28 11:35:38,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
0.8,2015-02-28 11:35:39,None,2_gal_south,1_class_lezin,2_gal_south,0.8,1_class_lezin
1.0,2015-02-28 11:35:40,None,2_gal_south,1_class_lezin,2_gal_south,1.0,1_class_lezin
0.7,2015-02-28 11:35:41,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.7,2015-02-28 11:35:42,None,1_class_lezin,1_class_lezin,1_class_lezin,0.7,1_class_lezin
0.6,2015-02-28 11:35:43,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.5,2015-02-28 11:35:44,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
0.6,2015-02-28 11:35:45,None,1_class_lezin,1_class_lezin,1_class_lezin,0.2,1_class_lezin
1.0,2015-02-28 11:35:46,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:47,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:48,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:49,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:50,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:51,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:52,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:53,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:54,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:55,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:56,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:57,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:58,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:35:59,None,1_class_lezin,2_gal_south,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:00,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:01,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:02,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:03,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:04,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:05,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
1.0,2015-02-28 11:36:06,None,1_class_lezin,1_class_lezin,1_class_lezin,1.0,1_class_lezin
